Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Turangalîla-Symphonie,Olivier Messiaen,3.82,469,1991
2,무악 동해무속사물,Kim Seok-chul 김석출,3.7,388,1994
3,Noizegarden,Noizegarden,3.67,225,1996
4,밑,Panic,3.63,268,1996
5,Tokebi,Kang Tae-hwan 강태환,3.6,504,1991
6,김광석 네번째,Kim Kwang-Seok 김광석,3.62,253,1994
7,살풀이,"Park Byeong-Cheon 박병천, Tetsu Saitoh 斉藤徹, Lee Tae-Baek 이태백, Cho Gongrye 조공례, Ahn Sook-sun 안숙선, Kazue Sawai 沢井一恵, Fumio Itabashi 板橋文夫, Lee Kwang-soo 이광수, Kim Seok-chul 김석출, Kim Bang-hyun 김방현 & Park Byung-won 박병원",3.61,218,1994
8,후일담,Sister's Barbershop 언니네이발관,3.59,557,1998
9,The Return of N.EX.T Part 1: The Being,N.EX.T,3.59,205,1994
10,Let's Go to My Star,Lee Jung Hyun 이정현,3.54,978,1999
11,비둘기는 하늘의 쥐,Sister's Barbershop 언니네이발관,3.55,382,1996
12,Gongmudohaga ～公無渡河歌～,Lee Sang-eun 이상은,3.54,255,1995
13,나의 외로움이 널 부를때,Jang Pil-soon 장필순,3.5,283,1997
14,Sad Legend,Sad Legend,3.49,339,1998
15,Deli Spice,Deli Spice,3.46,274,1997
16,Roller Coaster,Roller Coaster,3.55,159,1999
17,進化,Lee Yoon-jung 이윤정,3.67,138,1997
18,李博士のポンチャック大百科 (Encyclopedia of Pon-chak),E Pak Sa 이박사,3.39,198,1996
19,Vol.1,The Light & the Salt 빛과소금,3.36,237,1990
20,IV,Seo Taiji and Boys,3.39,189,1995
21,"서태지와 아이들 (Seo Taiji, Boys)","Seo Taiji, Boys",3.28,488,1992
22,보헤미안,Kim Doo Soo 김두수,3.62,130,1991
23,대지의 창 (Daejiui chang),Cho Gongrye 조공례,3.6,135,1995
24,서커스 매직 유랑단,Crying Nut,3.53,122,1999
25,S.E.S. 2: Sea & Eugene & Shoo,S.E.S.,3.22,177,1998
26,II,Seo Taiji and Boys,3.19,201,1993
27,III,Seo Taiji and Boys,3.3,166,1994
28,Éclairs sur l'au-delà...,Olivier Messiaen / Orchestre de l'Opéra Bastille Myung-Whun Chung,3.58,122,1994
29,Myself,Shin Hae-Chul 신해철,3.43,135,1991
30,Panic,Panic,3.33,144,1995
31,천명,Kim Daerye 김대례,3.47,124,1998
32,戀人,Jaurim,3.37,143,1997
33,손익분기점 [Son Ik Boon Gi Jeom],Uhuhboo Project 어어부프로젝트,3.48,117,1998
34,Seo Tai Ji,Seo Taiji,3.32,146,1995
35,진도상여소리,Cho Gongrye 조공례,3.66,83,1995
36,force deux,DEUX,3.48,86,1990
37,Record of Changes,Samulnori,3.39,89,1994
38,Exhibition,Exhibition 전람회,3.27,94,1997
39,외롭고 웃긴 가게 (Lonely and Funny Store),Lee Sang-eun 이상은,3.55,73,1997
40,S.E.S,S.E.S.,2.91,131,1997
41,Young Forever (花樣年華),BTS,3.46,1243,2016
42,Philos,Park Jiha 박지하,3.49,962,2018
43,TEAM BABY,The Black Skirts 검정치마,3.49,666,2017
44,Girls' Generation,Girls' Generation 소녀시대,3.47,611,2011
45,EX'ACT,EXO,3.48,731,2016
46,和 (Harmony),cacophony 카코포니,3.49,633,2018
47,신의 놀이 (Sinui nori),Lang Lee 이랑,3.5,226,2016
48,Dream Girl - The Misconceptions of You,SHINee,3.49,384,2013
49,온다 (Onda),Jambinai 잠비나이,3.47,2091,2019
50,장기하와 얼굴들 2집,Kiha & The Faces 장기하와 얼굴들,3.5,205,2011
51,한(국힙)합,Bulssazo 불싸조,3.96,125,2016
52,이방인,E SENS,3.49,391,2019
53,Purpose,Taeyeon 태연,3.47,806,2019
54,Palette,IU,3.46,1401,2017
55,Communion,Park Jiha 박지하,3.46,2329,2018
56,Vol. 2 졸업,"Broccoli, you too? 브로콜리 너마저",3.49,251,2010
57,R U Ready?,Lovelyz,3.47,330,2017
58,Don't Mess Up My Tempo,EXO,3.45,670,2018
59,Echo,Yukari,3.46,888,2012
60,Girls' Generation II ~Girls & Peace~,Girls' Generation 소녀시대,3.47,305,2012
61,Sarah,Kirara,3.48,248,2018
62,가을방학,Autumn Vacation 가을방학,3.48,204,2010
63,夢 (Dream),cacophony 카코포니,3.47,255,2019
64,좋아 (She is),JONGHYUN 종현,3.44,488,2016
65,Basic,Brown Eyed Girls,3.46,305,2015
66,The Cloud Dream of the Nine,Uhm Jung Hwa,3.46,236,2017
67,Haute Couture,Glen Check,3.51,189,2012
68,차연 (Différance),Jambinai 잠비나이,3.43,950,2012
69,Spirit Advance Unit (스피릿선발대),Kim Oki 김오키,3.47,182,2019
70,Exodus,EXO,3.41,674,2015
71,Hunch,achime 아침,3.63,149,2010
72,3 Concertos,Unsuk Chin 진은숙,3.69,133,2014
73,MOVE,TAEMIN,3.42,549,2017
74,The Ocean,Lee Bada 이바다,3.42,263,2019
75,Enchanted Propaganda,Jvcki Wai,3.37,1790,2018
76,New Pop,Aseul 아슬,3.4,542,2016
77,실리카겔,SILICA GEL 실리카겔,3.4,320,2016
78,The God of Small Things,Nucksal 넉살,3.44,184,2016
79,Sunrise,DAY6,3.4,263,2017
80,11111101,Idiotape,3.43,180,2011
81,Press It,TAEMIN,3.4,338,2016
82,계몽,Thornapple 쏜애플,3.41,217,2019
83,隱棲은서 (A Hermitage),Jambinai 잠비나이,3.38,841,2016
84,Poet | Artist,JONGHYUN 종현,3.37,578,2018
85,The Movie Star,BewhY,3.38,408,2019
